50mtorr70W
Integration time [ms]: 200,000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1004020U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

 713,08;  -41,070;    0,000;    0,000
 713,14;  -33,850;    0,000;    0,000
 713,21;  217,350;    0,000;    0,000
 713,28;   57,580;    0,000;    0,000
 713,34;   63,720;    0,000;    0,000
 713,41;  -21,560;    0,000;    0,000
 713,48;   54,310;    0,000;    0,000
 713,54;  -18,350;    0,000;    0,000
 713,61;   78,280;    0,000;    0,000
 713,68;   35,160;    0,000;    0,000
 713,74;    0,990;    0,000;    0,000
 713,81;  -37,210;    0,000;    0,000
 713,88;   22,050;    0,000;    0,000
 713,94;    7,480;    0,000;    0,000
 714,01;  -27,240;    0,000;    0,000
 714,08;   39,470;    0,000;    0,000
 714,14;   41,930;    0,000;    0,000
 714,21;   41,240;    0,000;    0,000
 714,28;   90,420;    0,000;    0,000
 714,34;   -0,120;    0,000;    0,000
 714,41;  -14,640;    0,000;    0,000
 714,47;    8,640;    0,000;    0,000
 714,54;   47,090;    0,000;    0,000
 714,61;  -47,880;    0,000;    0,000
 714,67;   37,510;    0,000;    0,000
 714,74;   40,080;    0,000;    0,000
 714,81;  113,800;    0,000;    0,000
 714,87;   66,540;    0,000;    0,000
 714,94;    8,680;    0,000;    0,000
 715,01;   -9,180;    0,000;    0,000
 715,07;   89,510;    0,000;    0,000
 715,14;  -10,520;    0,000;    0,000
 715,21;  106,570;    0,000;    0,000
 715,27;    4,580;    0,000;    0,000
 715,34;   19,520;    0,000;    0,000
 715,41;   74,480;    0,000;    0,000
 715,47;   23,280;    0,000;    0,000
 715,54;   27,090;    0,000;    0,000
 715,60;   14,300;    0,000;    0,000
 715,67;  -29,630;    0,000;    0,000
 715,74;  213,020;    0,000;    0,000
 715,80;   45,720;    0,000;    0,000
 715,87;  150,650;    0,000;    0,000
 715,94;  138,250;    0,000;    0,000
 716,00;  -46,880;    0,000;    0,000
 716,07;   17,030;    0,000;    0,000
 716,13;   32,760;    0,000;    0,000
 716,20;    1,760;    0,000;    0,000
 716,27;   78,750;    0,000;    0,000
 716,33;  -62,840;    0,000;    0,000
 716,40;   18,270;    0,000;    0,000
 716,47;   44,030;    0,000;    0,000
 716,53;  -18,860;    0,000;    0,000
 716,60;   45,270;    0,000;    0,000
 716,67;   -0,060;    0,000;    0,000
 716,73;   27,820;    0,000;    0,000
 716,80;   75,850;    0,000;    0,000
 716,86;   50,180;    0,000;    0,000
 716,93;    0,290;    0,000;    0,000
 717,00;   31,040;    0,000;    0,000
 717,06;   18,850;    0,000;    0,000
 717,13;  -19,040;    0,000;    0,000
 717,20;  167,220;    0,000;    0,000
 717,26;   47,930;    0,000;    0,000
 717,33;   -9,370;    0,000;    0,000
 717,39;   19,640;    0,000;    0,000
 717,46;   88,090;    0,000;    0,000
 717,53;  -11,070;    0,000;    0,000
 717,59;   81,960;    0,000;    0,000
 717,66;  -97,370;    0,000;    0,000
 717,72;   27,670;    0,000;    0,000
 717,79;   -1,630;    0,000;    0,000
 717,86;   36,960;    0,000;    0,000
 717,92;  -66,250;    0,000;    0,000
 717,99;   87,650;    0,000;    0,000
 718,06;   -9,110;    0,000;    0,000
 718,12;   16,580;    0,000;    0,000
 718,19;   19,450;    0,000;    0,000
 718,25;  104,750;    0,000;    0,000
 718,32;  -65,270;    0,000;    0,000
 718,39;   47,120;    0,000;    0,000
 718,45;   93,500;    0,000;    0,000
 718,52;   77,960;    0,000;    0,000
 718,58;  -23,120;    0,000;    0,000
 718,65;   87,910;    0,000;    0,000
 718,72;   37,950;    0,000;    0,000
 718,78;   29,740;    0,000;    0,000
 718,85;  -40,870;    0,000;    0,000
 718,92;   10,510;    0,000;    0,000
 718,98;  -32,170;    0,000;    0,000
 719,05;  142,910;    0,000;    0,000
 719,11;   42,730;    0,000;    0,000
 719,18;   85,050;    0,000;    0,000
 719,25;   -4,100;    0,000;    0,000
 719,31;   50,500;    0,000;    0,000
 719,38;   84,750;    0,000;    0,000
 719,44;  192,870;    0,000;    0,000
 719,51;   29,580;    0,000;    0,000
 719,58;  -28,760;    0,000;    0,000
 719,64;  -37,490;    0,000;    0,000
 719,71;  -30,490;    0,000;    0,000
 719,77;   46,620;    0,000;    0,000
 719,84;  164,560;    0,000;    0,000
 719,91;  -16,300;    0,000;    0,000
 719,97;  -30,760;    0,000;    0,000
 720,04;  -45,710;    0,000;    0,000
 720,10;   15,000;    0,000;    0,000
 720,17;   -5,000;    0,000;    0,000
 720,24;    5,410;    0,000;    0,000
 720,30;  -91,650;    0,000;    0,000
 720,37;  -23,510;    0,000;    0,000
 720,43;  -14,660;    0,000;    0,000
 720,50;   29,790;    0,000;    0,000
 720,56;  -63,210;    0,000;    0,000
 720,63;   66,070;    0,000;    0,000
 720,70;   61,200;    0,000;    0,000
 720,76;   76,780;    0,000;    0,000
 720,83;   20,710;    0,000;    0,000
 720,89;   75,980;    0,000;    0,000
 720,96;  172,290;    0,000;    0,000
 721,03;   45,620;    0,000;    0,000
 721,09;  -35,850;    0,000;    0,000
 721,16;   37,440;    0,000;    0,000
 721,22;  -22,830;    0,000;    0,000
 721,29;   30,780;    0,000;    0,000
 721,36;   13,380;    0,000;    0,000
 721,42;  -30,350;    0,000;    0,000
 721,49;    4,880;    0,000;    0,000
 721,55;   90,630;    0,000;    0,000
 721,62;  -47,470;    0,000;    0,000
 721,68;   13,490;    0,000;    0,000
 721,75;   12,420;    0,000;    0,000
