50mtorr_70W
Integration time [ms]: 2000,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 1004019U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

 496,68; 1663,800;    0,000;    0,000
 496,75; 1893,800;    0,000;    0,000
 496,83; 1951,133;    0,000;    0,000
 496,90; 1837,133;    0,000;    0,000
 496,98; 1621,400;    0,000;    0,000
 497,05; 1498,067;    0,000;    0,000
 497,13; 1761,467;    0,000;    0,000
 497,20; 1722,600;    0,000;    0,000
 497,28; 1592,933;    0,000;    0,000
 497,35; 1031,800;    0,000;    0,000
 497,43; 1128,533;    0,000;    0,000
 497,50; 1032,200;    0,000;    0,000
 497,58; 1078,133;    0,000;    0,000
 497,65; 1100,600;    0,000;    0,000
 497,73; 1307,467;    0,000;    0,000
 497,80; 1317,933;    0,000;    0,000
 497,88; 1218,000;    0,000;    0,000
 497,95; 1088,133;    0,000;    0,000
 498,03; 1102,867;    0,000;    0,000
 498,10; 1182,400;    0,000;    0,000
 498,18; 1142,867;    0,000;    0,000
 498,25; 1184,067;    0,000;    0,000
 498,32; 1152,600;    0,000;    0,000
 498,40; 1101,133;    0,000;    0,000
 498,47; 1222,867;    0,000;    0,000
 498,55; 1025,467;    0,000;    0,000
 498,62; 1145,200;    0,000;    0,000
 498,70;  995,800;    0,000;    0,000
 498,77; 1039,667;    0,000;    0,000
 498,85; 1072,200;    0,000;    0,000
 498,92; 1114,867;    0,000;    0,000
 499,00; 1194,667;    0,000;    0,000
 499,07; 1258,467;    0,000;    0,000
 499,15; 1405,200;    0,000;    0,000
 499,22; 1397,133;    0,000;    0,000
 499,30; 1226,800;    0,000;    0,000
 499,37;  874,733;    0,000;    0,000
 499,45;  657,467;    0,000;    0,000
 499,52;  575,933;    0,000;    0,000
 499,60;  651,533;    0,000;    0,000
 499,67;  812,800;    0,000;    0,000
 499,75;  843,133;    0,000;    0,000
 499,82;  967,000;    0,000;    0,000
 499,90;  903,933;    0,000;    0,000
 499,97;  921,800;    0,000;    0,000
 500,05;  850,867;    0,000;    0,000
 500,12;  836,400;    0,000;    0,000
 500,20;  867,067;    0,000;    0,000
 500,27;  785,800;    0,000;    0,000
 500,35;  827,133;    0,000;    0,000
 500,42;  919,933;    0,000;    0,000
 500,50;  941,467;    0,000;    0,000
 500,57;  888,800;    0,000;    0,000
 500,64;  779,733;    0,000;    0,000
 500,72;  737,333;    0,000;    0,000
 500,79;  743,067;    0,000;    0,000
 500,87;  639,000;    0,000;    0,000
 500,94;  616,533;    0,000;    0,000
 501,02;  545,933;    0,000;    0,000
 501,09;  624,267;    0,000;    0,000
 501,17;  572,467;    0,000;    0,000
 501,24;  601,267;    0,000;    0,000
 501,32;  675,867;    0,000;    0,000
 501,39;  720,200;    0,000;    0,000
 501,47;  637,467;    0,000;    0,000
 501,54;  542,267;    0,000;    0,000
 501,62;  703,467;    0,000;    0,000
 501,69;  905,267;    0,000;    0,000
 501,77; 1121,400;    0,000;    0,000
 501,84; 1185,333;    0,000;    0,000
 501,92; 1353,067;    0,000;    0,000
 501,99; 1065,733;    0,000;    0,000
 502,06;  840,333;    0,000;    0,000
 502,14;  615,333;    0,000;    0,000
 502,21;  584,600;    0,000;    0,000
 502,29;  484,000;    0,000;    0,000
 502,36;  293,467;    0,000;    0,000
 502,44;  443,000;    0,000;    0,000
 502,51;  525,667;    0,000;    0,000
 502,59;  714,200;    0,000;    0,000
 502,66;  716,333;    0,000;    0,000
 502,74;  878,000;    0,000;    0,000
 502,81;  817,933;    0,000;    0,000
 502,89;  638,333;    0,000;    0,000
 502,96;  492,533;    0,000;    0,000
 503,03;  477,533;    0,000;    0,000
 503,11;  560,067;    0,000;    0,000
 503,18;  687,400;    0,000;    0,000
 503,26;  586,600;    0,000;    0,000
 503,33;  613,200;    0,000;    0,000
 503,41;  689,000;    0,000;    0,000
 503,48; 1123,667;    0,000;    0,000
 503,56; 1237,000;    0,000;    0,000
 503,63; 1288,667;    0,000;    0,000
 503,71; 1142,200;    0,000;    0,000
 503,78; 1158,867;    0,000;    0,000
 503,86; 1012,733;    0,000;    0,000
 503,93;  948,800;    0,000;    0,000
 504,00;  950,400;    0,000;    0,000
 504,08; 1031,667;    0,000;    0,000
 504,15; 1038,600;    0,000;    0,000
 504,23; 1133,067;    0,000;    0,000
 504,30; 1478,133;    0,000;    0,000
 504,38; 1809,733;    0,000;    0,000
 504,45; 1676,800;    0,000;    0,000
 504,53; 1252,867;    0,000;    0,000
 504,60;  947,333;    0,000;    0,000
 504,68;  848,467;    0,000;    0,000
 504,75;  745,600;    0,000;    0,000
 504,82;  710,400;    0,000;    0,000
 504,90;  936,133;    0,000;    0,000
 504,97; 1098,267;    0,000;    0,000
 505,05; 1082,267;    0,000;    0,000
 505,12; 1051,133;    0,000;    0,000
 505,20;  977,400;    0,000;    0,000
 505,27;  933,333;    0,000;    0,000
 505,35;  746,133;    0,000;    0,000
 505,42;  716,067;    0,000;    0,000
 505,49;  650,600;    0,000;    0,000
 505,57;  732,400;    0,000;    0,000
 505,64;  803,267;    0,000;    0,000
 505,72; 1059,800;    0,000;    0,000
 505,79;  977,400;    0,000;    0,000
 505,87;  954,333;    0,000;    0,000
 505,94;  914,333;    0,000;    0,000
 506,02; 1100,000;    0,000;    0,000
 506,09; 1173,867;    0,000;    0,000
 506,16; 1007,467;    0,000;    0,000
 506,24;  779,333;    0,000;    0,000
 506,31;  629,867;    0,000;    0,000
 506,39;  678,200;    0,000;    0,000
 506,46;  715,800;    0,000;    0,000
 506,54;  755,267;    0,000;    0,000
 506,61;  807,533;    0,000;    0,000
 506,68;  876,533;    0,000;    0,000
 506,76;  728,267;    0,000;    0,000
 506,83;  609,133;    0,000;    0,000
 506,91;  662,067;    0,000;    0,000
 506,98;  841,267;    0,000;    0,000
 507,06;  938,733;    0,000;    0,000
 507,13;  742,467;    0,000;    0,000
 507,21;  634,467;    0,000;    0,000
 507,28;  616,933;    0,000;    0,000
 507,35;  737,800;    0,000;    0,000
 507,43;  873,267;    0,000;    0,000
 507,50;  781,800;    0,000;    0,000
 507,58;  712,667;    0,000;    0,000
 507,65;  557,467;    0,000;    0,000
 507,73;  630,867;    0,000;    0,000
 507,80;  694,267;    0,000;    0,000
 507,87;  918,267;    0,000;    0,000
 507,95; 1052,467;    0,000;    0,000
 508,02;  944,733;    0,000;    0,000
 508,10;  743,467;    0,000;    0,000
 508,17;  536,333;    0,000;    0,000
 508,25;  714,867;    0,000;    0,000
 508,32;  708,067;    0,000;    0,000
 508,39;  754,133;    0,000;    0,000
 508,47;  796,933;    0,000;    0,000
 508,54; 1067,733;    0,000;    0,000
 508,62; 1257,400;    0,000;    0,000
 508,69; 1431,267;    0,000;    0,000
 508,77; 1394,000;    0,000;    0,000
 508,84; 1322,467;    0,000;    0,000
 508,91; 1211,800;    0,000;    0,000
 508,99; 1312,867;    0,000;    0,000
 509,06; 1543,867;    0,000;    0,000
 509,14; 1541,867;    0,000;    0,000
 509,21; 1403,933;    0,000;    0,000
 509,29; 1163,333;    0,000;    0,000
 509,36; 1138,800;    0,000;    0,000
 509,43; 1058,067;    0,000;    0,000
 509,51; 1063,467;    0,000;    0,000
 509,58; 1241,000;    0,000;    0,000
 509,66; 1287,667;    0,000;    0,000
 509,73; 1492,467;    0,000;    0,000
 509,80; 1243,333;    0,000;    0,000
 509,88; 1289,000;    0,000;    0,000
 509,95; 1026,200;    0,000;    0,000
 510,03; 1034,533;    0,000;    0,000
 510,10;  968,600;    0,000;    0,000
 510,18;  964,133;    0,000;    0,000
 510,25; 1029,533;    0,000;    0,000
 510,32; 1116,133;    0,000;    0,000
 510,40; 1106,533;    0,000;    0,000
 510,47;  959,400;    0,000;    0,000
 510,55;  960,133;    0,000;    0,000
 510,62; 1262,400;    0,000;    0,000
 510,69; 1292,333;    0,000;    0,000
 510,77; 1166,933;    0,000;    0,000
 510,84;  790,400;    0,000;    0,000
 510,92;  905,267;    0,000;    0,000
 510,99;  813,200;    0,000;    0,000
 511,06;  880,867;    0,000;    0,000
 511,14;  854,933;    0,000;    0,000
 511,21;  932,000;    0,000;    0,000
 511,29;  913,200;    0,000;    0,000
 511,36;  774,400;    0,000;    0,000
 511,44;  882,467;    0,000;    0,000
 511,51;  867,000;    0,000;    0,000
 511,58;  990,133;    0,000;    0,000
 511,66;  948,333;    0,000;    0,000
 511,73; 1044,267;    0,000;    0,000
 511,81; 1094,133;    0,000;    0,000
 511,88;  979,133;    0,000;    0,000
 511,95;  930,933;    0,000;    0,000
 512,03;  907,067;    0,000;    0,000
 512,10;  957,667;    0,000;    0,000
 512,18;  773,067;    0,000;    0,000
 512,25;  722,600;    0,000;    0,000
 512,32;  735,067;    0,000;    0,000
 512,40;  987,667;    0,000;    0,000
 512,47;  902,933;    0,000;    0,000
 512,55;  891,667;    0,000;    0,000
 512,62;  732,267;    0,000;    0,000
 512,69;  578,667;    0,000;    0,000
 512,77;  553,667;    0,000;    0,000
 512,84;  656,200;    0,000;    0,000
 512,92;  840,333;    0,000;    0,000
 512,99;  775,400;    0,000;    0,000
 513,06;  596,467;    0,000;    0,000
 513,14;  603,333;    0,000;    0,000
 513,21;  600,000;    0,000;    0,000
 513,29;  696,333;    0,000;    0,000
 513,36;  625,133;    0,000;    0,000
 513,43;  663,133;    0,000;    0,000
 513,51;  626,267;    0,000;    0,000
 513,58;  597,400;    0,000;    0,000
 513,65;  703,333;    0,000;    0,000
 513,73;  799,533;    0,000;    0,000
 513,80;  991,467;    0,000;    0,000
 513,88;  944,933;    0,000;    0,000
 513,95;  831,133;    0,000;    0,000
 514,02;  785,867;    0,000;    0,000
 514,10;  902,467;    0,000;    0,000
 514,17; 1017,467;    0,000;    0,000
 514,25; 1052,600;    0,000;    0,000
 514,32; 1175,933;    0,000;    0,000
 514,39; 1237,467;    0,000;    0,000
 514,47; 1122,933;    0,000;    0,000
 514,54;  779,267;    0,000;    0,000
 514,62;  654,867;    0,000;    0,000
 514,69;  835,467;    0,000;    0,000
 514,76;  882,667;    0,000;    0,000
 514,84;  909,800;    0,000;    0,000
 514,91;  919,533;    0,000;    0,000
 514,98; 1025,800;    0,000;    0,000
 515,06; 1068,400;    0,000;    0,000
 515,13;  794,733;    0,000;    0,000
 515,21;  815,133;    0,000;    0,000
 515,28;  882,333;    0,000;    0,000
 515,35;  963,600;    0,000;    0,000
 515,43; 1023,533;    0,000;    0,000
 515,50;  952,067;    0,000;    0,000
 515,58;  994,667;    0,000;    0,000
 515,65;  762,733;    0,000;    0,000
 515,72;  778,067;    0,000;    0,000
 515,80;  708,533;    0,000;    0,000
 515,87;  822,067;    0,000;    0,000
 515,94;  823,933;    0,000;    0,000
 516,02;  976,533;    0,000;    0,000
 516,09; 1300,800;    0,000;    0,000
 516,17; 1351,600;    0,000;    0,000
 516,24; 1455,867;    0,000;    0,000
 516,31; 1039,200;    0,000;    0,000
 516,39; 1021,333;    0,000;    0,000
 516,46;  888,533;    0,000;    0,000
 516,53; 1027,467;    0,000;    0,000
 516,61;  973,667;    0,000;    0,000
 516,68;  935,067;    0,000;    0,000
 516,76;  833,867;    0,000;    0,000
 516,83;  844,733;    0,000;    0,000
 516,90;  841,133;    0,000;    0,000
 516,98;  791,333;    0,000;    0,000
 517,05;  736,667;    0,000;    0,000
 517,12;  766,467;    0,000;    0,000
 517,20;  699,733;    0,000;    0,000
 517,27;  655,133;    0,000;    0,000
 517,34;  502,133;    0,000;    0,000
 517,42;  602,867;    0,000;    0,000
 517,49;  627,333;    0,000;    0,000
 517,57;  736,600;    0,000;    0,000
 517,64;  804,800;    0,000;    0,000
 517,71;  855,333;    0,000;    0,000
 517,79;  891,400;    0,000;    0,000
 517,86; 1068,600;    0,000;    0,000
 517,93; 1061,200;    0,000;    0,000
 518,01;  880,467;    0,000;    0,000
 518,08;  651,067;    0,000;    0,000
 518,15;  618,467;    0,000;    0,000
 518,23;  816,467;    0,000;    0,000
 518,30;  847,133;    0,000;    0,000
 518,38;  886,000;    0,000;    0,000
 518,45;  823,400;    0,000;    0,000
 518,52; 1009,667;    0,000;    0,000
 518,60; 1383,267;    0,000;    0,000
 518,67; 1631,533;    0,000;    0,000
 518,74; 1588,333;    0,000;    0,000
 518,82; 1332,933;    0,000;    0,000
 518,89; 1261,600;    0,000;    0,000
